Date,index_level
01/01/2020,100
02/01/2020,100.81
03/01/2020,101.21
06/01/2020,100.23
07/01/2020,100.38
08/01/2020,99.89
09/01/2020,99.95
10/01/2020,98.63
13/01/2020,98.93
14/01/2020,98.51
15/01/2020,98.5
16/01/2020,98.33
17/01/2020,97.9
20/01/2020,97.66
21/01/2020,97.82
22/01/2020,98
23/01/2020,98.51
24/01/2020,98.13
27/01/2020,97.64
28/01/2020,97.09
29/01/2020,96.87
30/01/2020,96.16
31/01/2020,96.6
03/02/2020,97.37
04/02/2020,97.26
05/02/2020,96.57
06/02/2020,96.76
07/02/2020,96.44
10/02/2020,97.03
11/02/2020,96.4
12/02/2020,96.4
13/02/2020,96.34
14/02/2020,96.33
17/02/2020,97.22
18/02/2020,96.54
19/02/2020,96.34
20/02/2020,95.16
21/02/2020,95.66
24/02/2020,95.94
25/02/2020,96.19
26/02/2020,95.63
27/02/2020,95.65
28/02/2020,95.23
02/03/2020,95.67
03/03/2020,96.06
04/03/2020,95.42
05/03/2020,95.46
06/03/2020,94.97
09/03/2020,94.8
10/03/2020,94.08
11/03/2020,94.09
12/03/2020,93.99
13/03/2020,93.67
16/03/2020,94.25
17/03/2020,94.74
18/03/2020,94.97
19/03/2020,94.65
20/03/2020,94.46
23/03/2020,94.08
24/03/2020,94.19
25/03/2020,92.92
26/03/2020,92.75
27/03/2020,93
30/03/2020,93.24
31/03/2020,92.02
01/04/2020,92.1
02/04/2020,91.89
03/04/2020,92.42
06/04/2020,92.15
07/04/2020,92.81
08/04/2020,92.85
09/04/2020,92.34
10/04/2020,92.18
13/04/2020,92.68
14/04/2020,92.87
15/04/2020,93.15
16/04/2020,93.89
17/04/2020,93.18
20/04/2020,92.73
21/04/2020,91.97
22/04/2020,92.79
23/04/2020,93.6
24/04/2020,94.38
27/04/2020,95.48
28/04/2020,94.92
29/04/2020,94.69
30/04/2020,94.46
01/05/2020,93.58
04/05/2020,93.46
05/05/2020,93.14
06/05/2020,92.63
07/05/2020,92.4
08/05/2020,92.34
11/05/2020,91.76
12/05/2020,91.81
13/05/2020,91.15
14/05/2020,90.94
15/05/2020,91
18/05/2020,90.98
19/05/2020,91.48
20/05/2020,91.68
21/05/2020,92.21
22/05/2020,91.89
25/05/2020,91.93
26/05/2020,91.43
27/05/2020,91.69
28/05/2020,91.94
29/05/2020,92.43
01/06/2020,92.51
02/06/2020,92.15
03/06/2020,92.52
04/06/2020,91.33
05/06/2020,91.16
08/06/2020,90.69
09/06/2020,90.35
10/06/2020,91.36
11/06/2020,91.75
12/06/2020,92.12
15/06/2020,92.04
16/06/2020,91.76
17/06/2020,91.51
18/06/2020,90.67
19/06/2020,90.26
22/06/2020,90.85
23/06/2020,90.17
24/06/2020,88.83
25/06/2020,89.15
26/06/2020,89.26
29/06/2020,89.08
30/06/2020,89.75
01/07/2020,91.32
02/07/2020,92.11
03/07/2020,92.53
06/07/2020,91.98
07/07/2020,92.41
08/07/2020,92.68
09/07/2020,92.94
10/07/2020,94.16
13/07/2020,93.56
14/07/2020,94.15
15/07/2020,93.82
16/07/2020,94.95
17/07/2020,95.7
20/07/2020,96.18
21/07/2020,95.85
22/07/2020,95.76
23/07/2020,96.19
24/07/2020,96.6
27/07/2020,96.52
28/07/2020,95.72
29/07/2020,95.8
30/07/2020,96.74
31/07/2020,96.14
03/08/2020,96.96
04/08/2020,96.16
05/08/2020,95.97
06/08/2020,95.81
07/08/2020,95.11
10/08/2020,94.64
11/08/2020,94.92
12/08/2020,95.31
13/08/2020,94.73
14/08/2020,94.85
17/08/2020,94.55
18/08/2020,94.46
19/08/2020,95.14
20/08/2020,95.25
21/08/2020,94.7
24/08/2020,95.67
25/08/2020,95.04
26/08/2020,96.31
27/08/2020,96.87
28/08/2020,97.24
31/08/2020,96.53
01/09/2020,97.09
02/09/2020,97.32
03/09/2020,96.93
